high,timestamp,volume,low,close,open
29022.01,1609459200,0.86157958,28999.14,29006.31,28999.63
29086.90,1609459260,14.56195084,29007.31,29083.47,29007.31
29073.02,1609459320,3.03030144,29028.14,29035.89,29069.80
29069.39,1609459380,2.18962055,29019.00,29048.13,29037.68
29057.73,1609459440,1.44653760,29035.61,29045.19,29048.13
29023.38,1609459500,1.06235967,28982.33,28999.50,29021.86
29025.68,1609459560,1.86322186,28996.71,28997.36,28996.71
29012.16,1609459620,1.40150279,28983.04,28990.35,29000.96
28993.53,1609459680,2.27032461,28938.21,28941.55,28993.53
28987.85,1609459740,2.37217921,28910.15,28937.66,28945.20
28945.01,1609459800,1.46820641,28903.28,28925.13,28932.99
28936.19,1609459860,9.89429008,28843.74,28888.34,28905.23
28931.49,1609459920,1.58386373,28893.16,28899.24,28915.88
28897.80,1609459980,14.01723668,28800.00,28811.01,28897.80
28839.99,1609460040,13.46141688,28774.64,28834.74,28785.98
28843.06,1609460100,1.43738320,28800.92,28825.45,28812.07
28893.34,1609460160,1.15812201,28844.42,28893.34,28849.06
28893.34,1609460220,0.42930128,28858.67,28888.52,28872.67
28907.96,1609460280,5.54608190,28865.50,28898.38,28893.34
28916.52,1609460340,1.94684880,28879.93,28916.52,28902.03
28893.72,1609460400,1.87169104,28810.07,28827.83,28893.72
28878.46,1609460460,7.63363878,28802.97,28852.31,28819.24
28889.35,1609460520,1.71106435,28854.12,28889.32,28854.12
28919.39,1609460580,2.27313407,28867.26,28919.39,28878.30
28909.53,1609460640,2.61633566,28892.38,28907.28,28893.82
28932.43,1609460700,1.29393198,28907.28,28932.43,28907.28
28947.70,1609460760,23.47127269,28898.35,28920.26,28936.99
28933.28,1609460820,6.59143606,28900.00,28914.43,28908.80
28922.59,1609460880,11.12985453,28895.99,28900.07,28901.86
28913.01,1609460940,5.78596564,28878.41,28910.87,28896.03
28950.00,1609461000,12.05414799,28900.11,28950.00,28900.11
28969.07,1609461060,17.39085988,28931.21,28931.21,28950.00
28955.21,1609461120,6.15567111,28929.73,28947.96,28938.52
28974.79,1609461180,2.49642887,28934.97,28974.79,28947.96
28978.54,1609461240,10.68851586,28937.70,28952.07,28966.87
29005.56,1609461300,17.53539899,28952.46,28999.77,28952.46
29001.18,1609461360,17.97468844,28968.10,29001.18,28999.77
29001.18,1609461420,16.17785554,28981.12,28983.72,28984.81
28996.63,1609461480,13.92509724,28971.13,28971.13,28983.72
28974.45,1609461540,4.29816758,28961.83,28974.45,28974.45
28996.99,1609461600,4.28644870,28967.25,28996.99,28967.25
29007.35,1609461660,22.11847478,28986.61,28986.61,28996.51
29003.14,1609461720,6.57325765,28977.67,28991.31,29003.14
29000.61,1609461780,1.42018380,28990.42,28997.26,28992.16
29017.21,1609461840,1.54483499,28997.26,29017.21,28997.26
29017.21,1609461900,15.53999490,28971.91,28978.01,29005.98
29017.21,1609461960,4.81764318,28978.02,29004.36,28992.36
29050.00,1609462020,23.70185610,29002.11,29022.29,29004.36
29047.09,1609462080,5.00057495,29009.73,29011.08,29012.33
29029.47,1609462140,1.36741137,29012.53,29023.58,29012.53
29039.19,1609462200,5.46567145,29023.71,29023.71,29032.19
29030.48,1609462260,1.22957967,29010.60,29013.59,29028.93
29049.01,1609462320,1.85024719,29013.59,29049.01,29013.59
29063.15,1609462380,13.55045153,29028.62,29049.60,29049.01
29041.11,1609462440,4.00726841,29018.54,29033.24,29041.11
29048.28,1609462500,2.72147918,29019.62,29026.33,29030.49
29048.54,1609462560,1.65992518,29014.76,29039.46,29029.22
29099.00,1609462620,8.17561949,29049.88,29071.96,29067.04
29097.57,1609462680,3.57837760,29076.20,29088.01,29097.47
29079.93,1609462740,4.27798978,29053.18,29056.94,29079.93
29076.68,1609462800,6.82027096,29047.01,29047.01,29070.66
29048.07,1609462860,7.01732391,29010.36,29030.04,29047.01
29068.97,1609462920,1.31408146,29039.30,29068.95,29039.30
29068.93,1609462980,2.15166797,29052.25,29053.89,29068.93
29120.00,1609463040,13.24598274,29053.89,29117.04,29058.75
29155.00,1609463100,18.02039878,29116.10,29155.00,29120.00
29150.00,1609463160,6.98289220,29131.12,29148.32,29150.00
29148.32,1609463220,9.21883616,29119.21,29132.57,29135.86
29191.74,1609463280,11.24366762,29139.75,29190.29,29139.75
29190.29,1609463340,2.53800878,29150.66,29174.65,29190.29
29209.00,1609463400,12.39395512,29174.64,29201.56,29174.64
29253.96,1609463460,24.88186470,29206.89,29253.96,29208.35
29296.95,1609463520,14.47521501,29241.53,29295.91,29241.74
29311.34,1609463580,11.87858101,29276.13,29292.62,29296.95
29437.83,1609463640,62.13405394,29308.28,29413.41,29308.28
29437.83,1609463700,13.95531716,29370.72,29437.83,29437.48
29418.02,1609463760,20.79674635,29356.20,29402.51,29416.55
29403.71,1609463820,10.40647435,29352.11,29384.51,29377.72
29380.00,1609463880,2.08763090,29345.63,29380.00,29365.46
29380.00,1609463940,16.42654421,29310.21,29329.79,29380.00
29395.99,1609464000,9.83933536,29300.84,29395.99,29320.24
29383.40,1609464060,8.39992818,29339.01,29370.04,29381.40
29370.04,1609464120,9.91783369,29286.97,29352.86,29370.04
29367.32,1609464180,6.27682176,29326.69,29367.32,29343.40
29399.58,1609464240,2.21849193,29358.00,29383.62,29361.44
29392.11,1609464300,16.14471841,29338.77,29381.66,29383.62
29374.38,1609464360,8.70548089,29344.20,29344.20,29374.38
29373.77,1609464420,16.16930223,29321.20,29367.05,29357.56
29415.00,1609464480,8.92537861,29373.37,29402.62,29373.85
29470.00,1609464540,14.10828987,29403.15,29445.80,29403.15
29495.00,1609464600,11.86691995,29445.80,29495.00,29445.80
29499.99,1609464660,10.41127962,29401.45,29401.45,29495.00
29446.58,1609464720,5.51576020,29415.66,29435.80,29428.88
29458.00,1609464780,11.68950179,29366.86,29414.81,29455.20
29435.79,1609464840,6.32340926,29399.31,29435.79,29400.00
29427.41,1609464900,7.87201495,29393.53,29404.51,29419.38
29487.30,1609464960,10.29977089,29425.41,29462.27,29425.41
29489.36,1609465020,9.16257332,29458.23,29489.36,29462.27
29543.93,1609465080,52.11674268,29489.69,29524.97,29489.69
29543.93,1609465140,19.79299641,29388.27,29455.78,29526.32
